	-8.2,	-203.8,	415.5
3.3,	415.5
612441,	-8.1,	-203.4,	414.4
612533,	-8.0,	-202.9,	415.5
612625,	-8.0,	-203.9,	415.5
612717,	-8.2,	-203.8,	415.5
I'm using internal copy of the library
I'm using internal copy of the library
2069.20
2061.61
Pressure and weight measurements
1708,	-0.1,	0.4,	410.9
1800,	0.2,	0.2,	409.8
1891,	-0.1,	-0.0,	409.8
1983,	0.0,	-0.1,	409.8
2075,	0.1,	-0.0,	409.8
2166,	-0.1,	-0.0,	409.8
2258,	0.1,	0.4,	409.8
2351,	0.0,	-0.0,	409.8
2443,	0.0,	0.2,	408.6
2534,	0.1,	0.2,	408.6
2626,	0.1,	0.4,	409.8
2718,	-0.0,	-0.2,	408.6
2820,	-0.0,	0.1,	408.6
2912,	0.2,	0.8,	408.6
3003,	0.2,	2.5,	408.6
3095,	0.4,	3.6,	408.6
3187,	-0.1,	3.8,	407.4
3279,	-0.0,	4.7,	408.6
3371,	-0.2,	6.9,	407.4
3463,	0.0,	7.1,	280.1
3555,	-1.2,	2.9,	252.4
3647,	1.9,	0.5,	214.2
3738,	-5.9,	-0.9,	215.3
3830,	1.7,	-0.1,	188.7
3932,	-3.9,	-3.1,	182.9
4024,	4.7,	-4.0,	187.6
4115,	-0.2,	-6.0,	181.8
4207,	2.3,	-5.4,	174.8
4299,	-5.1,	-4.7,	179.5
4391,	1.9,	-4.9,	171.4
4483,	2.3,	-8.1,	180.6
4575,	-4.7,	-8.6,	178.3
4667,	2.2,	-8.5,	178.3
4759,	3.2,	-10.8,	187.6
4850,	4.3,	-9.8,	181.8
4942,	-3.9,	-9.8,	193.4
5044,	3.1,	-12.2,	199.1
5136,	-4.9,	-12.1,	203.8
5228,	1.1,	-12.1,	198.0
5320,	3.4,	-15.0,	222.3
5412,	-4.5,	-13.6,	213.0
5504,	-3.5,	-14.2,	240.8
5596,	-1.6,	-16.5,	245.4
5688,	4.6,	-16.1,	237.3
5780,	-3.0,	-15.9,	290.6
5871,	-2.0,	-15.9,	232.7
5963,	4.3,	-18.8,	309.1
6055,	-3.0,	-19.4,	307.9
6158,	-1.9,	-20.5,	479.2
6249,	4.3,	-19.5,	245.4
6341,	-2.4,	-19.8,	277.8
6433,	-2.0,	-19.5,	671.3
6525,	4.3,	-21.9,	513.9
6618,	-2.1,	-22.4,	576.4
6709,	-2.2,	-20.7,	679.4
6801,	-3.5,	-23.5,	615.7
6893,	3.0,	-22.7,	935.1
6985,	1.2,	-23.9,	876.1
7077,	-3.0,	-25.0,	755.8
7169,	2.3,	-23.4,	1010.4
7271,	-2.1,	-24.3,	1049.7
7363,	3.4,	-26.2,	1050.9
7455,	2.0,	-24.8,	1012.7
7546,	2.9,	-25.7,	1024.2
7639,	-1.4,	-26.7,	1034.7
7731,	2.7,	-26.3,	1049.7
7823,	3.6,	-26.0,	1050.9
7915,	-0.4,	-27.1,	1049.7
8007,	2.4,	-27.3,	1052.0
8098,	1.0,	-27.6,	1050.9
8190,	4.7,	-26.3,	1050.9
8283,	2.1,	-27.9,	1049.7
8385,	4.4,	-27.1,	1049.7
8477,	0.8,	-28.2,	1050.9
8568,	2.8,	-27.7,	1049.7
8660,	4.9,	-27.5,	1049.7
8753,	5.4,	-27.5,	1049.7
8845,	2.7,	-28.4,	1048.5
8937,	2.3,	-28.0,	1053.2
9029,	5.8,	-27.7,	1050.9
9120,	3.0,	-28.3,	1053.2
9212,	2.6,	-27.9,	1050.9
9305,	6.0,	-27.4,	1050.9
9397,	3.9,	-28.6,	1050.9
9499,	2.3,	-27.4,	1053.2
9590,	6.1,	-27.6,	1050.9
9682,	4.1,	-28.5,	1050.9
9775,	2.9,	-27.5,	1050.9
9867,	7.0,	-26.8,	1049.7
9959,	4.7,	-28.1,	1050.9
10051,	2.7,	-27.2,	1049.7
10142,	2.5,	-27.2,	1049.7
10234,	6.3,	-27.0,	1052.0
10327,	7.0,	-27.0,	1052.0
10419,	2.8,	-26.6,	1050.9
10511,	6.3,	-27.0,	1050.9
10613,	3.4,	-26.3,	1052.0
10704,	7.2,	-26.6,	1048.5
10797,	6.6,	-27.2,	1049.7
10889,	7.2,	-25.5,	1049.7
10981,	3.8,	-26.6,	1050.9
11073,	6.7,	-26.6,	1050.9
11165,	7.6,	-26.6,	1053.2
11257,	3.7,	-25.7,	1049.7
11350,	7.1,	-25.7,	1049.7
11441,	8.1,	-26.9,	1052.0
11533,	8.5,	-25.7,	1049.7
11625,	4.9,	-25.8,	1050.9
11727,	8.1,	-25.6,	1052.0
11820,	4.6,	-25.9,	1049.7
11912,	7.0,	-25.8,	1049.7
12004,	9.0,	-25.9,	1053.2
12095,	5.4,	-25.5,	1053.2
12187,	6.1,	-25.6,	1053.2
12279,	6.6,	-26.4,	1052.0
12371,	10.3,	-25.5,	1052.0
12464,	6.3,	-26.1,	1050.9
12556,	6.6,	-27.1,	1049.7
12648,	10.3,	-26.1,	1050.9
12740,	7.1,	-26.7,	1052.0
12841,	10.3,	-27.5,	1049.7
12934,	10.8,	-25.8,	1049.7
13026,	7.8,	-26.9,	1052.0
13118,	7.5,	-26.8,	1050.9
13210,	11.0,	-26.1,	1049.7
13302,	8.4,	-28.1,	1050.9
13394,	7.5,	-28.1,	1050.9
13487,	11.5,	-27.0,	1050.9
13578,	8.7,	-27.4,	1050.9
13670,	9.9,	-28.6,	1053.2
13762,	7.4,	-28.0,	1049.7
13854,	10.9,	-28.3,	1053.2
13957,	8.4,	-27.5,	1050.9
14049,	12.6,	-27.7,	1050.9
14141,	9.5,	-28.7,	1050.9
14233,	8.8,	-28.2,	1050.9
14325,	8.1,	-28.6,	1053.2
14417,	12.4,	-28.2,	1050.9
14509,	12.0,	-29.0,	1049.7
14601,	8.9,	-28.8,	1050.9
14693,	13.1,	-29.1,	1049.7
14785,	12.7,	-29.2,	1050.9
14877,	8.9,	-29.8,	1050.9
14969,	12.9,	-28.9,	1052.0
15072,	12.8,	-29.4,	1049.7
15164,	11.0,	-30.1,	1048.5
15256,	13.2,	-29.8,	1050.9
15348,	13.2,	-30.1,	1049.7
15440,	10.1,	-30.9,	1053.2
15533,	13.1,	-30.6,	1049.7
15625,	14.4,	-31.8,	1049.7
15716,	10.2,	-30.6,	1050.9
15808,	14.4,	-30.6,	1049.7
15900,	13.4,	-31.5,	1053.2
15992,	15.6,	-31.2,	1049.7
16084,	11.9,	-32.1,	1050.9
16187,	15.9,	-32.4,	1052.0
16279,	11.8,	-32.0,	1050.9
16371,	15.0,	-32.0,	1053.2
16463,	16.2,	-32.8,	1049.7
16556,	16.6,	-32.6,	1048.5
16648,	13.1,	-32.3,	1049.7
16740,	14.2,	-33.6,	1050.9
16832,	19.5,	-32.5,	1053.2
16924,	13.9,	-33.3,	1052.0
17015,	14.2,	-32.9,	1050.9
17107,	18.5,	-33.6,	1050.9
17200,	14.6,	-33.7,	1049.7
17302,	16.6,	-33.9,	1053.2
17394,	19.1,	-33.7,	1052.0
17486,	15.2,	-34.2,	1049.7
17579,	15.9,	-35.2,	1050.9
17671,	21.3,	-34.2,	1050.9
17763,	16.2,	-34.2,	1053.2
17855,	15.3,	-35.0,	1050.9
17947,	19.1,	-35.7,	1048.5
18039,	20.7,	-34.9,	1050.9
18131,	18.4,	-35.0,	1052.0
18223,	14.3,	-37.7,	1049.7
18315,	19.7,	-36.2,	1050.9
18417,	16.4,	-36.7,	1049.7
18509,	19.7,	-36.8,	1049.7
18601,	19.1,	-36.6,	1048.5
18694,	20.0,	-37.1,	1049.7
18786,	16.6,	-37.8,	1052.0
18878,	20.0,	-37.5,	1049.7
18970,	20.5,	-38.2,	1049.7
19062,	16.4,	-38.6,	1053.2
19154,	22.5,	-38.0,	1049.7
19247,	21.8,	-38.8,	1049.7
19339,	17.6,	-39.4,	1049.7
19430,	20.8,	-38.8,	1050.9
19533,	22.3,	-39.3,	1052.0
19624,	17.1,	-40.1,	1050.9
19717,	21.9,	-39.2,	1050.9
19809,	24.6,	-39.3,	1049.7
19901,	19.3,	-39.5,	1053.2
19993,	21.9,	-40.0,	1052.0
20085,	24.3,	-39.7,	1049.7
20177,	24.8,	-40.3,	1050.9
20270,	21.1,	-40.9,	1052.0
20362,	21.9,	-41.6,	1052.0
20454,	25.6,	-40.7,	1049.7
20546,	20.1,	-40.6,	1049.7
20648,	25.2,	-42.7,	1053.2
20741,	20.9,	-42.1,	1049.7
20832,	23.3,	-41.0,	1050.9
20924,	23.3,	-42.6,	1049.7
21016,	25.6,	-43.8,	1050.9
21108,	24.0,	-43.2,	1053.2
21200,	22.4,	-42.4,	1050.9
21293,	27.0,	-43.4,	1049.7
21385,	24.3,	-43.4,	1049.7
21477,	21.9,	-42.9,	1052.0
21569,	27.7,	-45.1,	1050.9
21661,	27.3,	-44.6,	1047.4
21764,	24.9,	-44.2,	1050.9
21856,	28.4,	-44.8,	1049.7
21948,	26.0,	-45.0,	1049.7
22039,	25.1,	-44.1,	1049.7
22131,	28.7,	-45.5,	1053.2
22223,	27.4,	-45.3,	1053.2
22316,	28.4,	-44.7,	1050.9
22408,	25.3,	-45.8,	1050.9
22500,	27.8,	-46.0,	1052.0
22592,	30.5,	-46.6,	1050.9
22684,	25.4,	-45.7,	1049.7
22776,	28.3,	-46.1,	1050.9
22879,	25.8,	-47.5,	1053.2
22971,	27.5,	-46.9,	1050.9
23063,	29.2,	-47.3,	1049.7
23155,	32.2,	-47.2,	1050.9
23247,	27.9,	-47.2,	1052.0
23339,	30.6,	-47.4,	1049.7
23431,	32.1,	-46.6,	1049.7
23523,	28.4,	-49.0,	1050.9
23615,	29.5,	-49.4,	1049.7
23707,	32.9,	-50.4,	1050.9
23799,	33.4,	-47.9,	1049.7
23891,	30.9,	-49.2,	1050.9
23994,	33.8,	-49.1,	1052.0
24086,	30.7,	-50.3,	1049.7
24178,	31.1,	-48.7,	1049.7
24270,	34.4,	-49.3,	1052.0
24363,	30.9,	-51.1,	1032.3
24455,	34.6,	-52.0,	1050.9
24546,	30.3,	-50.8,	1050.9
24638,	34.7,	-50.7,	1050.9
24730,	33.7,	-51.6,	1053.2
24822,	31.5,	-51.2,	1024.2
24914,	34.8,	-51.7,	1049.7
25007,	34.5,	-52.2,	1053.2
25109,	35.7,	-52.7,	1050.9
25201,	35.6,	-51.7,	1016.1
25293,	35.6,	-52.5,	1050.9
25385,	33.7,	-52.5,	1050.9
25478,	35.2,	-53.6,	1050.9
25570,	37.2,	-52.6,	1050.9
25662,	33.7,	-52.2,	1017.3
25753,	37.5,	-53.4,	1048.5
25845,	36.9,	-53.2,	1050.9
25937,	37.7,	-54.1,	1050.9
26030,	33.6,	-54.0,	1050.9
26122,	36.6,	-54.1,	1013.8
26224,	35.0,	-54.0,	1052.0
26316,	37.7,	-54.6,	1052.0
26408,	38.5,	-54.7,	1050.9
26501,	35.1,	-56.3,	1017.3
26593,	38.3,	-56.5,	1053.2
26685,	37.4,	-54.6,	1050.9
26777,	40.0,	-56.1,	1049.7
26869,	36.3,	-57.5,	1050.9
26960,	38.4,	-55.3,	1012.7
27053,	41.9,	-56.4,	1050.9
27145,	39.3,	-56.4,	1049.7
27237,	38.5,	-55.9,	1048.5
27431,	40.3,	-56.3,	1050.9
27524,	39.9,	-58.3,	1050.9
27616,	41.3,	-58.2,	1049.7
27708,	40.5,	-58.2,	1050.9
27800,	39.6,	-58.6,	1019.6
27892,	43.8,	-58.4,	1049.7
27984,	41.9,	-58.1,	1052.0
28077,	37.8,	-58.5,	1049.7
28169,	39.7,	-59.2,	1052.0
28260,	43.6,	-60.1,	1011.5
28352,	44.0,	-59.5,	1052.0
28454,	45.3,	-58.8,	1050.9
28547,	43.7,	-59.6,	1052.0
28639,	40.8,	-59.8,	1032.3
28731,	46.0,	-59.6,	1050.9
28823,	44.1,	-60.4,	1049.7
28915,	44.7,	-61.1,	1052.0
29007,	40.5,	-60.9,	1050.9
29100,	45.6,	-60.2,	1011.5
29192,	47.5,	-61.9,	1050.9
29284,	43.4,	-60.5,	1050.9
29376,	46.3,	-59.3,	938.6
29467,	49.3,	-62.3,	945.5
29570,	45.0,	-61.8,	952.5
29662,	46.5,	-61.3,	968.7
29754,	45.7,	-62.9,	982.6
29846,	48.1,	-63.7,	993.0
29938,	46.6,	-63.4,	1001.1
30030,	46.9,	-63.4,	1012.7
30121,	47.3,	-64.4,	1025.4
30214,	47.0,	-62.8,	1034.7
30306,	47.5,	-64.4,	1043.9
30398,	46.8,	-63.8,	1049.7
30490,	47.0,	-63.4,	1049.7
30582,	47.1,	-62.6,	1049.7
30685,	47.6,	-62.3,	1052.0
30777,	47.3,	-63.1,	1049.7
30869,	47.0,	-63.9,	1052.0
30961,	47.3,	-63.5,	1050.9
31053,	47.0,	-63.0,	1048.5
31145,	47.4,	-63.1,	1053.2
31238,	47.4,	-63.8,	1050.9
31329,	46.6,	-63.7,	1050.9
31421,	47.2,	-63.7,	1049.7
31513,	47.5,	-63.3,	1050.9
31605,	47.2,	-63.4,	1052.0
31697,	47.3,	-63.3,	1049.7
31800,	47.1,	-63.2,	1048.5
31892,	47.6,	-63.9,	1053.2
31984,	47.2,	-63.7,	1050.9
32076,	50.7,	-63.1,	1050.9
