Flow measure
[0,	1.64,	1.64],
[1,	1.56,	1.56],
[2,	1.53,	1.53],
[4,	1.51,	1.51],
[22,	1.48,	1.48],
[41,	1.46,	1.46],
[61,	1.44,	1.44],
[81,	1.42,	1.42],
[101,	1.40,	1.40],
[121,	1.37,	1.37],
[143,	1.35,	1.35],
[163,	1.33,	1.33],
[184,	1.31,	1.31],
[205,	1.29,	1.29],
[226,	1.27,	1.27],
[246,	1.25,	1.25],
[268,	1.23,	1.23],
[288,	1.21,	1.21],
[309,	1.19,	1.19],
[330,	1.18,	1.18],
[351,	1.16,	1.16],
[371,	1.14,	1.14],
[392,	1.13,	1.13],
[413,	1.11,	1.11],
[434,	1.09,	1.09],
[454,	1.08,	1.08],
[476,	1.06,	1.06],
[496,	1.04,	1.04],
[517,	1.03,	1.03],
[538,	1.01,	1.01],
[559,	1.00,	1.00],
[579,	0.98,	0.98],
[601,	0.97,	0.97],
[621,	0.96,	0.96],
[642,	0.94,	0.94],
[663,	0.93,	0.93],
[684,	0.91,	0.91],
[704,	0.90,	0.90],
[724,	0.89,	0.89],
[746,	0.88,	0.88],
[766,	0.87,	0.87],
[787,	0.86,	0.86],
[808,	0.85,	0.85],
[829,	0.83,	0.83],
[849,	0.83,	0.83],
[871,	0.82,	0.82],
[891,	0.81,	0.81],
[912,	0.80,	0.80],
[933,	0.79,	0.79],
[954,	0.78,	0.78],
[974,	0.77,	0.77],
[996,	0.76,	0.76],
[1016,	0.75,	0.75],
[1038,	0.75,	0.75],
[1059,	0.74,	0.74],
[1082,	0.73,	0.73],
[1103,	0.73,	0.73],
[1125,	0.72,	0.72],
[1147,	0.71,	0.71],
[1169,	0.71,	0.71],
[1190,	0.70,	0.70],
[1213,	0.70,	0.70],
[1234,	0.69,	0.69],
[1256,	0.68,	0.68],
[1278,	0.68,	0.68],
[1300,	0.67,	0.67],
[1321,	0.67,	0.67],
[1344,	0.66,	0.66],
[1366,	0.66,	0.66],
[1387,	0.65,	0.65],
[1410,	0.65,	0.65],
[1431,	0.65,	0.65],
[1453,	0.64,	0.64],
[1475,	0.64,	0.64],
[1497,	0.63,	0.63],
[1518,	0.63,	0.63],
[1541,	0.63,	0.63],
[1562,	0.62,	0.62],
[1584,	0.62,	0.62],
[1606,	0.61,	0.61],
[1628,	0.61,	0.61],
[1649,	0.61,	0.61],
[1672,	0.61,	0.61],
[1693,	0.61,	0.61],
[1715,	0.61,	0.61],
[1737,	0.60,	0.60],
[1759,	0.60,	0.60],
[1780,	0.60,	0.60],
[1803,	0.59,	0.59],
[1824,	0.59,	0.59],
[1846,	0.59,	0.59],
[1868,	0.59,	0.59],
[1890,	0.58,	0.58],
[1911,	0.58,	0.58],
[1934,	0.58,	0.58],
[1955,	0.58,	0.58],
[1977,	0.58,	0.58],
[1999,	0.58,	0.58],
[2021,	0.57,	0.57],
[2042,	0.57,	0.57],
[2065,	0.57,	0.57],
[2086,	0.57,	0.57],
[2108,	0.57,	0.57],
[2130,	0.56,	0.56],
[2152,	0.57,	0.57],
[2173,	0.56,	0.56],
[2196,	0.56,	0.56],
[2217,	0.56,	0.56],
[2239,	0.56,	0.56],
[2262,	0.56,	0.56],
[2283,	0.56,	0.56],
[2305,	0.56,	0.56],
[2327,	0.56,	0.56],
[2349,	0.56,	0.56],
[2370,	0.56,	0.56],
[2392,	0.56,	0.56],
