[0,	1.65,	1.65],
[1,	1.57,	1.57],
[2,	1.54,	1.54],
[4,	1.51,	1.51],
[22,	1.49,	1.49],
[41,	1.46,	1.46],
[61,	1.45,	1.45],
[81,	1.42,	1.42],
[101,	1.40,	1.40],
[121,	1.37,	1.37],
[143,	1.35,	1.35],
[163,	1.33,	1.33],
[184,	1.31,	1.31],
[205,	1.29,	1.29],
[226,	1.27,	1.27],
[246,	1.25,	1.25],
[268,	1.24,	1.24],
[288,	1.22,	1.22],
[309,	1.20,	1.20],
[330,	1.18,	1.18],
[351,	1.16,	1.16],
[371,	1.14,	1.14],
[392,	1.12,	1.12],
[413,	1.11,	1.11],
[434,	1.09,	1.09],
[454,	1.07,	1.07],
[476,	1.05,	1.05],
[496,	1.04,	1.04],
[517,	1.03,	1.03],
[538,	1.01,	1.01],
[559,	1.00,	1.00],
[579,	0.98,	0.98],
[601,	0.97,	0.97],
[621,	0.95,	0.95],
[642,	0.94,	0.94],
[663,	0.93,	0.93],
[684,	0.92,	0.92],
[704,	0.91,	0.91],
[724,	0.89,	0.89],
[746,	0.88,	0.88],
[766,	0.87,	0.87],
[787,	0.86,	0.86],
[808,	0.85,	0.85],
[829,	0.83,	0.83],
[849,	0.83,	0.83],
[871,	0.82,	0.82],
[891,	0.81,	0.81],
[912,	0.80,	0.80],
[933,	0.79,	0.79],
[954,	0.78,	0.78],
