54,	0.54],
[44289,	0.54,	0.54],
[44311,	0.54,	0.54],
[44335,	0.54,	0.54],
[44357,	0.54,	0.54],
[44380,	0.53,	0.
[44266,	0.54,	0.54],
[44289,	0.54,	0.54],
[44311,	0.54,	0.54],
[44335,	0.54,	0.54],
[44357,	0.54,	0.54],
[44380,	0.53,	0.Flow measure
[0,	1.64,	1.64],
[1,	1.55,	1.55],
[2,	1.52,	1.52],
[4,	1.50,	1.50],
[22,	1.48,	1.48],
[41,	1.45,	1.45],
[61,	1.43,	1.43],
[81,	1.41,	1.41],
[101,	1.39,	1.39],
[121,	1.37,	1.37],
[143,	1.35,	1.35],
[163,	1.32,	1.32],
[184,	1.30,	1.30],
[205,	1.28,	1.28],
[226,	1.26,	1.26],
[246,	1.25,	1.25],
[268,	1.23,	1.23],
[288,	1.21,	1.21],
[309,	1.19,	1.19],
[330,	1.17,	1.17],
[351,	1.15,	1.15],
[371,	1.13,	1.13],
[392,	1.11,	1.11],
[413,	1.10,	1.10],
[434,	1.08,	1.08],
[454,	1.07,	1.07],
[476,	1.05,	1.05],
[496,	1.04,	1.04],
[517,	1.02,	1.02],
[538,	1.01,	1.01],
[559,	1.00,	1.00],
[579,	0.98,	0.98],
[601,	0.97,	0.97],
[621,	0.95,	0.95],
[642,	0.94,	0.94],
[663,	0.92,	0.92],
[684,	0.91,	0.91],
[704,	0.90,	0.90],
[724,	0.89,	0.89],
[746,	0.87,	0.87],
[766,	0.87,	0.87],
[787,	0.85,	0.85],
[808,	0.84,	0.84],
[829,	0.83,	0.83],
[849,	0.83,	0.83],
[871,	0.81,	0.81],
[891,	0.81,	0.81],
[912,	0.80,	0.80],
[933,	0.79,	0.79],
[954,	0.78,	0.78],
[974,	0.77,	0.77],
[996,	0.76,	0.76],
[1016,	0.75,	0.75],
[1038,	0.75,	0.75],
[1059,	0.74,	0.74],
[1082,	0.73,	0.73],
[1103,	0.72,	0.72],
[1125,	0.72,	0.72],
[1147,	0.71,	0.71],
[1169,	0.70,	0.70],
[1190,	0.70,	0.70],
[1213,	0.69,	0.69],
[1234,	0.69,	0.69],
[1256,	0.68,	0.68],
[1278,	0.68,	0.68],
[1300,	0.67,	0.67],
[1321,	0.66,	0.66],
[1344,	0.66,	0.66],
[1366,	0.65,	0.65],
[1387,	0.65,	0.65],
[1410,	0.65,	0.65],
[1431,	0.64,	0.64],
[1453,	0.64,	0.64],
[1475,	0.64,	0.64],
[1497,	0.63,	0.63],
[1518,	0.63,	0.63],
[1541,	0.63,	0.63],
[1562,	0.62,	0.62],
[1584,	0.62,	0.62],
[1606,	0.62,	0.62],
[1628,	0.61,	0.61],
[1649,	0.61,	0.61],
[1672,	0.61,	0.61],
[1693,	0.61,	0.61],
[1715,	0.60,	0.60],
[1737,	0.60,	0.60],
[1759,	0.60,	0.60],
[1780,	0.60,	0.60],
[1803,	0.59,	0.59],
[1824,	0.59,	0.59],
[1846,	0.59,	0.59],
[1868,	0.59,	0.59],
[1890,	0.58,	0.58],
[1911,	0.58,	0.58],
[1934,	0.58,	0.58],
[1955,	0.58,	0.58],
[1977,	0.58,	0.58],
[1999,	0.57,	0.57],
[2021,	0.57,	0.57],
[2042,	0.57,	0.57],
[2065,	0.57,	0.57],
[2086,	0.57,	0.57],
[2108,	0.56,	0.56],
[2130,	0.56,	0.56],
[2152,	0.56,	0.56],
[2173,	0.56,	0.56],
[2196,	0.56,	0.56],
[2217,	0.56,	0.56],
[2239,	0.56,	0.56],
[2262,	0.56,	0.56],
[2283,	0.56,	0.56],
[2305,	0.55,	0.55],
[2327,	0.56,	0.56],
[2349,	0.55,	0.55],
[2370,	0.55,	0.55],
[2392,	0.55,	0.55],
[2414,	0.55,	0.55],
[2436,	0.55,	0.55],
[2457,	0.55,	0.55],
[2480,	0.55,	0.55],
[2501,	0.55,	0.55],
[2523,	0.55,	0.55],
[2545,	0.55,	0.55],
[2567,	0.55,	0.55],
[2588,	0.55,	0.55],
[2611,	0.55,	0.55],
[2632,	0.55,	0.55],
[2654,	0.54,	0.54],
[2676,	0.55,	0.55],
[2698,	0.55,	0.55],
[2719,	0.54,	0.54],
[2742,	0.54,	0.54],
[2763,	0.54,	0.54],
[2785,	0.54,	0.54],
[2807,	0.54,	0.54],
[2829,	0.54,	0.54],
[2850,	0.54,	0.54],
[2873,	0.54,	0.54],
[2894,	0.54,	0.54],
[2916,	0.54,	0.54],
[2938,	0.54,	0.54],
[2960,	0.54,	0.54],
[2981,	0.54,	0.54],
[3004,	0.54,	0.54],
[3025,	0.53,	0.53],
[3047,	0.54,	0.54],
